希望n 希望v
调查v 调查vn
开发vn 开发v
成功an 成功a
在d 在p
并d 并c
过vq 过d
租建v 租建vn
不便vn 不便a
数字式b 数字式n
转播台n 转播台wd
无线电话ln 无线电话vq
传播v 传播vn
迅速ad 迅速a
扩容v 扩容ui
决定v 决定n
至v 至p
到p 到v
２·４％m ２·４％v
到p 到vq
３·５％m ３·５％wd
７·５％m ７·５％v
到p 到vq
８·５％m ８·５％y
对v 对p
点n 点qe
４６６·００３m ４６６·００３vn
了ul 了y
４·８％m ４·８％y
亚硝化螺n 亚硝化螺rr
不管部长n 不管部长wj
稳定v 稳定a
适应vn 适应v
执行vn 执行v
一九六五年t 一九六五年jb
朝野n 朝野p
单方n 单方jb
废止v 废止jb
纷纷z 纷纷d
盘qe 盘qv
小林觉nr 小林觉ul
目q 目Ng
片冈聪nr 片冈聪ul
目q 目Ng
大dc 大a
麦克·雷蒙nr 麦克·雷蒙rz
目q 目Ng
向p 向nrf
协会化v 协会化nrg
扶持vn 扶持v
申办v 申办t
分析v 分析vn
增加vn 增加v
单位制n 单位制vn
先赋v 先赋vq
分配vn 分配v
与c 与p
损失vn 损失n
解困扶贫l 解困扶贫vq
协调v 协调vn
发展v 发展vn
重建论n 重建论wj
通过p 通过v
自在a 自在ns
自为v 自为a
有vx 有v
驱动力n 驱动力vn
来vi 来f
重建vn 重建v
传统a 传统n
重建vn 重建v
即vl 即d
传统a 传统n
总体性n 总体性iv
悬置v 悬置nz
人本精神n 人本精神vu
为vl 为p
自在a 自在ul
去vq 去vi
导读v 导读nz
实际n 实际a
文笔n 文笔dc
又c 又d
传统n 传统a
克敏nr 克敏nz
秦始皇帝n 秦始皇帝nrf
陵Ng 陵nrg
陶俑n 陶俑vn
将p 将d
陶俑n 陶俑wj
主编v 主编n
秦俑学n 秦俑学b
秦俑n 秦俑rr
编排v 编排vn
综论编n 综论编ns
秦陵编n 秦陵编ns
军事编n 军事编ns
艺术编n 艺术编ns
科技编n 科技编ns
建筑编n 建筑编ns
保护编n 保护编iv
秦Tg 秦jb
清Tg 清a
有关p 有关vn
秦陵ns 秦陵n
秦俑n 秦俑a
秦俑学n 秦俑学dc
作为p 作为vl
文一nr 文一nz
对外vd 对外vn
交流v 交流vn
演出v 演出vn
门qz 门n
和p 和c
俱Dg 俱dc
发展v 发展vn
改革v 改革vn
为什么ryw 为什么ry
爱好v 爱好n
怎样ryw 怎样ry
挂帅vi 挂帅Vg
赵氏nr 赵氏nz
门n 门nrg
女将n 女将Vg
义责v 义责w
白蛇传n 白蛇传nz
三基j 三基nrf
并行vi 并行nrg
同等d 同等b
教学vn 教学n
集中v 集中ad
为vl 为p
主课n 主课wd
创造vn 创造v
创造vn 创造v
与c 与p
培养vn 培养v
门qz 门n
创作v 创作vn
剧本n 剧本p
乃v 乃rr
繁荣v 繁荣a
没有v 没有df
关nrf 关v
汉卿nrg 汉卿nz
实甫nr 实甫nz
德辉nr 德辉nz
致远nrg 致远nz
朴nrg 朴nz
元Tg 元dc
杂剧n 杂剧a
灿烂an 灿烂a
有vx 有v
明清tt 明清ul
繁荣an 繁荣vn
有vx 有v
名旦n 名旦wt
名旦n 名旦wt
与c 与p
创作n 创作vn
繁荣vn 繁荣v
时Ng 时m
届v 届qe
后继vn 后继ul
作曲vn 作曲vi
支持vn 支持v
以c 以p
利Vg 利n
研究v 研究vn
与p 与c
论Ng 论v
虚拟v 虚拟ns
线段n 线段ns
论Ng 论v
丰富v 丰富a
论Ng 论v
批评v 批评vn
为p 为vl
建立vn 建立v
备注n 备注v
篇Ng 篇qe
筷子n 筷子y
来信vi 来信n
邮政编码n 邮政编码v
６５０９２１４０m ６５０９２１４０iv
电传n 电传rr
６５０９２７４０m ６５０９２７４０l
一样a 一样u
彷徨vi 彷徨vq
匮乏vi 匮乏vn
策划v 策划vn
恐Vg 恐d
出v 出vq
专d 专a
出冷门lv 出冷门y
招兵买马iv 招兵买马vi
有v 有vx
有v 有vx
来vi 来vq
聚合vi 聚合v
高a 高nrf
规格n 规格nrg
喜爱v 喜爱vn
就v 就d
天路n 天路vn
党nrf 党n
益民nrg 益民wj
擎天v 擎天wj
向v 向p
长岭nz 长岭wj
仲春t 仲春nrg
和p 和c
一样a 一样u
之rz 之u
紧贴v 紧贴vn
才c 才d
刈Vg 刈ad
净尽z 净尽vq
起劲a 起劲i
砰o 砰iv
块qc 块qe
弹跳vi 弹跳rr
偏a 偏v
斜a 斜v
小半截m 小半截c
霎时间t 霎时间rr
不怎么lv 不怎么dc
指Ng 指v
对v 对p
上vq 上f
疼痛a 疼痛ad
把qc 把p
面面土n 面面土rr
褴褛z 褴褛rr
撕下v 撕下ud
块qc 块qe
疼a 疼d
得ue 得vu
蹦v 蹦d
啊啊o 啊啊iv
叫vi 叫v
彩Ng 彩y
后晌t 后晌Tg
在d 在p
乐意v 乐意a
和p 和c
在v 在p
和p 和c
在v 在p
大赛vi 大赛vn
块qd 块qe
银元n 银元nz
另d 另rz
有vx 有v
二等奖n 二等奖ul
莫过于lv 莫过于p
热忱a 热忱an
有vx 有v
１９１２年t １９１２年rr
教育部nt 教育部ad
有vx 有v
影印本n 影印本ul
出版v 出版vn
一笔不苟i 一笔不苟Ng
恭楷n 恭楷ad
一瓶子不满l 一瓶子不满Ng
半瓶子晃荡l 半瓶子晃荡rr
惭愧an 惭愧a
典Ng 典m
错讹v 错讹qd
贻笑大方iv 贻笑大方a
无庸讳言lb 无庸讳言iv
投资vn 投资v
商Vg 商n
国是n 国是nrf
戮力同心iv 戮力同心nrg
礼貌a 礼貌an
文明n 文明a
晏子nr 晏子nz
春秋n 春秋nz
有vx 有v
礼貌a 礼貌ad
润滑剂n 润滑剂nz
凝聚剂n 凝聚剂nz
调节器n 调节器nz
礼貌an 礼貌a
亲近vn 亲近a
继承vn 继承v
进展vi 进展vn
礼貌an 礼貌a
传统n 传统a
礼貌an 礼貌a
不过d 不过c
舍本逐末iv 舍本逐末ry
礼貌a 礼貌ad
道德a 道德n
理想n 理想a
由表及里id 由表及里vq
本固枝荣i 本固枝荣vq
并d 并c
礼貌an 礼貌a
礼貌an 礼貌ad
礼貌a 礼貌ad
礼貌an 礼貌a
礼貌an 礼貌a
礼貌an 礼貌a
亟盼v 亟盼rr
礼貌an 礼貌a
舍本逐末iv 舍本逐末nz
易县ns 易县t
投劳v 投劳ns
投资v 投资vn
开发v 开发vn
治理v 治理vn
短期d 短期b
希望n 希望vu
在v 在p
与c 与p
靠海吃海l 靠海吃海wyy
马力n 马力y
钢质n 钢质wt
渔轮n 渔轮wyy
木头n 木头c
浅海n 浅海ns
钢质n 钢质vn
渔轮n 渔轮wd
泊Vg 泊vu
钢质n 钢质m
渔轮n 渔轮qd
马力n 马力qt
导航vi 导航vn
总b 总d
投资n 投资v
外海n 外海vn
到v 到p
南f 南jb
及v 及jb
南f 南jb
渔轮n 渔轮wt
渔Vg 渔j
港n 港jb
浅海n 浅海ns
运输业n 运输业ns
围塘机n 围塘机nrf
条斑n 条斑nrg
紫菜n 紫菜wky
整冻v 整冻ns
包装n 包装vn
鱼粉n 鱼粉ns
虾仁n 虾仁ns
烤鱼n 烤鱼a
客货轮n 客货轮d
教育v 教育vn
外交部nt 外交部n
教育v 教育vn
外交部nt 外交部n
文化部nt 文化部n
三讲jn 三讲nz
重视vn 重视v
报告v 报告n
改选v 改选vi
总支jn 总支nt
要求v 要求n
入党vi 入党rz
培养vn 培养v
有vx 有v
团结a 团结v
党章n 党章nz
团结a 团结v
进步a 进步vn
祖居n 祖居wky
万泉河ns 万泉河nrf
游览区n 游览区nrg
兴隆ns 兴隆a
纪念亭n 纪念亭wyy
大好河山i 大好河山vn
传统a 传统n
休假vn 休假vi
培养vn 培养v
科技司n 科技司b
组织v 组织n
晨延nr 晨延nz
淄川ns 淄川ud
文明a 文明n
逢年过节lb 逢年过节rr
无儿无女l 无儿无女f
过vq 过uo
到p 到vq
今生t 今生rr
由于c 由于p
南下v 南下vn
多a 多m
地n 地ui
晴间多云l 晴间多云ul
加强vn 加强v
有vx 有v
发展v 发展vn
地n 地ui
有vx 有v
有vx 有v
级qz 级qe
中jb 中f
越jb 越dc
遗憾a 遗憾an
外交部nt 外交部n
越jb 越dc
广宁省ns 广宁省vl
问Ng 问v
外交部nt 外交部n
和平a 和平n
以jb 以p
和平a 和平n
稳定a 稳定ad
希望v 希望vu
有关vn 有关p
和平n 和平a
和平a 和平n
万象新l 万象新wu
处处q 处处d
联Ng 联Vg
连任vn 连任v
海外版n 海外版wky
一d 一m
在v 在p
才d 才c
新石器n 新石器ns
锐Ag 锐ue
砭石n 砭石dc
穴Ng 穴ul
镇痛vi 镇痛vn
医疗史n 医疗史vn
杏林n 杏林qt
先贤n 先贤f
呕血vi 呕血wd
防御v 防御vn
与p 与c
救助v 救助vn
服务v 服务vn
投资v 投资vn
建设v 建设vn
管理v 管理vn
负责v 负责vn
管理v 管理vn
危害v 危害vn
有vx 有v
影响vn 影响v
干扰源n 干扰源a
主管n 主管vn
规定vn 规定n
建设v 建设vn
主管n 主管vn
款qz 款n
有vx 有v
规定vn 规定n
原b 原d
批准vn 批准v
主管n 主管vn
有关v 有关vn
指挥n 指挥v
分配v 分配vn
有vx 有v
主管n 主管vn
负责v 负责vn
管理v 管理vn
损失v 损失n
祸起萧墙iv 祸起萧墙wyy
起因n 起因rr
到v 到p
文明a 文明n
水火不相容l 水火不相容wyy
旷日持久i 旷日持久a
拉锯战n 拉锯战nz
离心力n 离心力vn
犬牙交错iv 犬牙交错t
以c 以p
长远an 长远a
考虑v 考虑vn
可能n 可能vu
将d 将p
调整v 调整vn
兴利除弊iv 兴利除弊f
图v 图n
发展v 发展vn
振兴v 振兴vn
挑战vi 挑战vn
又c 又d
向p 向nrf
以军j 以军nrg
袭击v 袭击vn
安全区n 安全区nz
增兵vi 增兵f
图法赫ns 图法赫vn
民房n 民房d
以军j 以军rr
纳巴提亚ns 纳巴提亚vn
图法赫ns 图法赫vn
频繁ad 频繁a
飞行vi 飞行vn
侦察v 侦察vn
哪ry 哪rz
首先c 首先d
哪ry 哪rz
因为p 因为c
历Ng 历wky
来vi 来f
有vx 有v
首先c 首先d
信仰v 信仰qb
信仰v 信仰vl
阿拉伯人n 阿拉伯人rr
信仰v 信仰vl
仁杰nr 仁杰nrg
纵情d 纵情ud
歌Vg 歌n
殖民者n 殖民者t
黑奴n 黑奴t
林立vi 林立f
过去t 过去v
多ad 多m
以c 以p
平安an 平安a
久而久之id 久而久之wyy
一年一度ib 一年一度ul
如痴如狂l 如痴如狂a
醇厚a 醇厚m
爽洌a 爽洌qt
越战越勇l 越战越勇iv
号q 号n
号q 号n
连d 连v
下v 下vq
以c 以p
日化j 日化ud
康乐城n 康乐城ad
体院jn 体院nz
监督局n 监督局wyy
公证团n 公证团wd
晓东nr 晓东nz
奥运村n 奥运村jn
主Ag 主n
剪彩vi 剪彩vn
报道vn 报道v
山口光nr 山口光wyy
山口nr 山口rr
竭尽全力iv 竭尽全力vu
迅速a 迅速ad
到p 到v
慰问v 慰问vn
篮坛n 篮坛ul
平均v 平均a
流动v 流动vn
执勤vi 执勤vn
奇险a 奇险wky
要vu 要c
连n 连v
因为c 因为p
出口vn 出口v
交货值n 交货值rr
３８％m ３８％wd
拉动vn 拉动v
公平ad 公平a
竞争v 竞争vn
发展v 发展vn
与p 与c
改革v 改革vn
清洁ad 清洁a
生产v 生产vn
生产vn 生产v
即vl 即d
少量m 少量a
清洁ad 清洁a
生产v 生产vn
在d 在p
应用v 应用vn
怎样ryw 怎样ry
怎样ryw 怎样ry
好a 好dc
太dc 太jb
没有v 没有df
清楚a 清楚wm
靠p 靠v
实际a 实际n
一头mq 一头d
深a 深d
一头mq 一头d
明了v 明了p
发展v 发展vn
变化v 变化vn
决策vn 决策n
又c 又d
实际a 实际n
领导vn 领导n
决策vn 决策n
照抄v 照抄nrf
照搬v 照搬nrg
生吞活剥iv 生吞活剥ns
循规蹈矩in 循规蹈矩iv
改革v 改革vn
领导vn 领导n
结合vn 结合v
妙处n 妙处vn
近a 近v
讲话vi 讲话n
有vx 有v
工作vi 工作vn
腐败an 腐败a
会会n 会会wd
件件q 件件m
批v 批qj
督办vn 督办v
规定v 规定n
廉洁自律lv 廉洁自律dc
存在vn 存在v
管理v 管理vn
县直j 县直vq
级qz 级qe
级qz 级qe
作用vn 作用n
为vl 为p
以权谋私lv 以权谋私ud
惩治vn 惩治v
发展v 发展vn
解放v 解放vn
实现vn 实现v
为vl 为p
更新vn 更新v
有vx 有v
提高vn 提高v
外引内联l 外引内联ns
非h 非b
效益化vn 效益化ns
发展v 发展vn
年产量n 年产量rz
块qc 块qe
煤矸石n 煤矸石vn
振武nz 振武vn
为vl 为p
为vl 为p
定心丸n 定心丸nz
即vl 即d
冶炼v 冶炼vn
为vl 为p
发展v 发展vn
非h 非jb
工农贸j 工农贸nrf
一体化vi 一体化nrg
动摇a 动摇v
聚心成业l 聚心成业vq
与p 与c
增长v 增长vn
即vl 即c
实际a 实际n
才c 才d
生产v 生产vn
尽心尽力iv 尽心尽力ul
十化j 十化nz
生产v 生产vn
标准化vi 标准化vn
快车化v 快车化vq
洗澡vn 洗澡b
服务化v 服务化wyy
饭店化v 饭店化wyy
旅馆化v 旅馆化vn
煤气化v 煤气化wyy
阵地化v 阵地化wj
园林化v 园林化wyy
宿舍区n 宿舍区m
文明化v 文明化qd
自rr 自p
化v 化wj
即c 即vl
自给vi 自给vn
在v 在p
优越感n 优越感ns
幸福感n 幸福感iv
在d 在p
复垦v 复垦vn
在d 在p
抽样调查lv 抽样调查wd
结果n 结果d
８１％m ８１％vq
为vl 为p
有v 有vx
来源v 来源n
收款机n 收款机wky
票据n 票据nrf
打印机n 打印机nrg
标签机n 标签机ns
汉字n 汉字nrf
寻呼机n 寻呼机nrg
各种rz 各种nrf
中文nz 中文nrg
处理vn 处理v
简笔n 简笔wyy
有关vn 有关p
规定vn 规定n
有vx 有v
易ad 易a
逝Vg 逝y
薄a 薄nrf
腹Ng 腹nrg
空a 空v
某事r 某事wm
化为泡影i 化为泡影wyz
黄粱美梦ln 黄粱美梦ul
去vq 去vi
定义v 定义n
之rz 之u
泡沫者n 泡沫者iv
虚空a 虚空ud
变形vi 变形vn
哗啦哗啦o 哗啦哗啦dc
响v 响a
村野n 村野ul
凤头n 凤头wu
苏公祠ns 苏公祠f
九龙ns 九龙wu
腾v 腾nrf
玉宇n 玉宇nrg
赋v 赋wj
春Tg 春nr
黄莺n 黄莺ad
富a 富Vg
铁面n 铁面ue
倡廉v 倡廉dc
正v 正a
赞美v 赞美vn
歌Vg 歌n
吟Vg 吟f
倩影n 倩影vn
险恶a 险恶an
毁灭vn 毁灭v
狂野a 狂野vn
恣意d 恣意vi
野蛮an 野蛮vn
冷酷an 冷酷a
碎a 碎vq
船舸n 船舸Ng
给v 给p
歇斯底里n 歇斯底里a
壮丽an 壮丽a
老祖宗n 老祖宗rr
给p 给v
定规n 定规vq
给v 给p
压岁钱n 压岁钱nz
随v 随p
点qb 点n
可d 可vu
拜年vi 拜年nz
大年三十儿t 大年三十儿rr
可d 可vu
算d 算vl
有点d 有点a
美其名曰lv 美其名曰nr
投资v 投资vn
资Ng 资nz
怪v 怪a
靠p 靠v
系统ad 系统n
英语nz 英语wky
涉外vi 涉外vn
承包v 承包vn
井史n 井史vn
双子星座n 双子星座nz
工作vi 工作vn
宴请vn 宴请v
生产v 生产vn
为vl 为p
炼油vn 炼油c
柴汽比n 柴汽比vq
改造vn 改造v
冰棍n 冰棍ui
在d 在p
一语中的i 一语中的wky
到p 到v
海拉尔ns 海拉尔nz
肯v 肯vu
冤枉钱n 冤枉钱vq
自主经营权n 自主经营权rr
干预v 干预vn
过d 过v
长隧n 长隧qt
康jb 康ud
秦岭ns 秦岭ud
铁一局j 铁一局m
处n 处qe
秦岭ns 秦岭b
交会点n 交会点y
用v 用p
平均a 平均v
警示录n 警示录wj
贪污vn 贪污v
办案vi 办案vn
知情人n 知情人rr
知情人n 知情人a
工作vi 工作vn
生产v 生产vn
去v 去vq
去v 去vi
字nrf 字n
国瑞nrg 国瑞d
和p 和c
销售v 销售vn
有vx 有v
合格vn 合格vi
接替vn 接替v
才c 才d
以权谋私lv 以权谋私wky
像vl 像p
又c 又d
去v 去vi
耽搁vi 耽搁v
好dc 好a
一会m 一会y
一起s 一起d
来vq 来f
叫v 叫vl
啼笑皆非iv 啼笑皆非f
出v 出vq
猛然d 猛然vu
报案人n 报案人nz
连u 连v
怎么ryw 怎么ry
为p 为vl
疾言厉色i 疾言厉色wky
两个半m 两个半ns
遍qv 遍v
部分m 部分n
去vq 去vi
好好先生in 好好先生nz
有vx 有v
表现vn 表现v
肚Ng 肚ud
世事n 世事d
和事佬n 和事佬nz
辨Vg 辨vu
是非曲直in 是非曲直iv
一概d 一概nr
和稀泥vi 和稀泥nz
滚滚圆z 滚滚圆nz
弯腰vi 弯腰d
服务vn 服务v
千家万户in 千家万户rr
铜山县ns 铜山县nz
工作n 工作vn
八路军n 八路军jb
南f 南jb
连n 连u
独立营n 独立营ns
二十六m 二十六ns
泗宿ns 泗宿wu
独立团n 独立团nrf
宣传股n 宣传股nrg
新四军nt 新四军ul
纵队n 纵队qt
二十四m 二十四nrf
军n 军nrg
军部n 军部wkz
野战军n 野战军ud
兵团n 兵团qe
宣传科n 宣传科ud
接管部n 接管部d
学习vn 学习v
团徽n 团徽ul
上岗vi 上岗vn
服务v 服务vn
按理说lv 按理说c
文明a 文明n
规范a 规范n
满意v 满意a
营运科n 营运科wyy
折叠v 折叠vq
登记牌n 登记牌qt
纸鹤n 纸鹤rr
颈部n 颈部vn
旅途n 旅途dc
到v 到p
来vq 来vi
祝福v 祝福vn
请勿v 请勿rr
易燃易爆lv 易燃易爆ul
易ad 易a
腐蚀v 腐蚀vn
安全ad 安全a
科学n 科学a
需要n 需要v
教学n 教学vn
块qc 块qe
鹅毛大雪ln 鹅毛大雪rr
金金nr 金金m
家n 家qe
风箱n 风箱vq
灶膛n 灶膛t
海洋法n 海洋法ns
和平n 和平a
由于p 由于c
眼镜架n 眼镜架vq
眼皮n 眼皮wd
眼睫毛n 眼睫毛vi
睁闭vn 睁闭ud
闭合vi 闭合rr
警报声n 警报声vq
反应vi 反应nrf
迅捷a 迅捷nrg
因c 因p
长途d 长途b
疲劳ad 疲劳n
打瞌睡vi 打瞌睡wj
由来已久lv 由来已久y
孤立vn 孤立a
单方面n 单方面d
制裁vn 制裁v
以c 以p
充分性n 充分性vn
真实性n 真实性vn
盈利vn 盈利n
决策vi 决策n
决策vi 决策n
对v 对p
为vl 为p
在d 在p
数v 数m
比赛v 比赛vn
战Vg 战Ng
则d 则c
有vx 有v
女队n 女队jb
中f 中jb
充当vl 充当jb
领头羊l 领头羊n
至v 至p
罚款vi 罚款n
费奥伦蒂纳nz 费奥伦蒂纳ns
戈里nr 戈里wj
有关v 有关vn
戈里nr 戈里rr
攻击v 攻击vn
札幌ns 札幌wu
大阪市ns 大阪市t
申办v 申办t
澳网j 澳网ud
威廉姆斯nr 威廉姆斯d
——－w ——－ul
老太n 老太nrg
大寿n 大寿qd
儿孙n 儿孙rr
来vi 来f
攀枝花ns 攀枝花r
工作vi 工作vn
回来v 回来vq
道n 道v
工作vi 工作vn
忙a 忙v
来v 来vi
寿宴n 寿宴wj
桌qr 桌qd
去v 去vq
好言相劝l 好言相劝wd
寿宴n 寿宴ns
货栈n 货栈wd
猕猴桃n 猕猴桃ns
芒果n 芒果ns
南北方j 南北方vn
高中低档j 高中低档ud
稳定a 稳定vn
有vx 有v
有vx 有v
中档b 中档vq
市斤qd 市斤vl
到p 到v
箱Ng 箱ui
有vx 有v
苦a 苦v
４８·６２m ４８·６２qt
份量nz 份量qe
１１．５１m １１．５１wj
龙舟nz 龙舟qe
１２．０５m １２．０５wj
南通ns 南通qe
６．８０m ６．８０wj
宏业nz 宏业qe
１６．０５m １６．０５wj
美达nz 美达qe
８．７７m ８．７７wj
长城ns 长城qe
７．２６m ７．２６wj
约定vn 约定ns
多m 多d
来vi 来f
为vl 为p
少不了lv 少不了vl
执法vi 执法vn
发展v 发展vn
到p 到v
话线j 话线rr
一手包办iv 一手包办wyy
无可奈何ia 无可奈何f
不用说lv 不用说a
选择v 选择vn
有vx 有v
４１％m ４１％vq
百分之百i 百分之百a
权威n 权威a
预测v 预测vn
通讯业n 通讯业vq
应对v 应对y
年qt 年n
制胜v 制胜y
为vl 为p
免vd 免v
为vl 为p
答v 答nrf
录v 录nrg
液晶n 液晶nrf
显示v 显示nrg
防盗vi 防盗vn
多a 多m
来电n 来电vi
无绳话机n 无绳话机df
无绳话机n 无绳话机f
投入vn 投入v
⑥w ⑥wu
苗jb 苗nrf
家n 家nrg
香茗n 香茗wu
敬v 敬nrf
亲人n 亲人nrg
总评n 总评ud
经过v 经过p
以c 以p
京九jb 京九ul
旅游性n 旅游性b
行包j 行包ul
编图者n 编图者rr
汉口站ns 汉口站nr
货运单n 货运单b
并vi 并c
单Ng 单d
倡议n 倡议vn
去vi 去v
影响v 影响vn
干扰v 干扰vn
说Ng 说v
有违v 有违ns
发展v 发展vn
来v 来f
投资v 投资vn
发展v 发展vn
保护v 保护vn
以c 以p
同d 同p
兴化州ns 兴化州wj
肥a 肥n
由于p 由于c
不便a 不便vn
开发v 开发vn
利用v 利用vn
预售vn 预售nz
格式n 格式vn
生产v 生产vn
诺的斯卡牌nz 诺的斯卡牌vn
为vl 为p
考级vn 考级b
为vl 为p
考级vn 考级b
铁铮nr 铁铮nz
仓储式b 仓储式wky
停车位n 停车位vn
赞Vg 赞p
贫困an 贫困a
团结v 团结a
为vl 为p
与p 与c
执行会长n 执行会长wu
和平ad 和平a
统一v 统一vn
努力a 努力ad
下f 下v
台jb 台n
分裂vn 分裂v
成功an 成功a
家k 家n
电影家n 电影家nz
学会n 学会v
荣誉奖n 荣誉奖wj
发展vn 发展v
和平ad 和平a
统一v 统一vn
统一v 统一a
携手vi 携手vn
合作v 合作vn
亮a 亮vi
文a 文v
雅Ag 雅nrf
起来vq 起来nrg
有vx 有v
样Ng 样dc
高ad 高nrf
悬v 悬nrg
装饰n 装饰v
又c 又d
有vx 有v
各种各样lb 各种各样ul
有vx 有v
又c 又d
有vx 有v
有vx 有v
摄影vn 摄影vi
又c 又d
灯谜n 灯谜vn
喜闻乐见ib 喜闻乐见vi
自娱vi 自娱m
自乐v 自乐qt
间隔期n 间隔期rr
摄影vn 摄影vi
结缘vn 结缘wyz
那年t 那年y
遗憾an 遗憾a
武装v 武装vn
挨家挨户id 挨家挨户ad
有vx 有v
间作vn 间作y
模式图n 模式图wt
早春t 早春dc
科学n 科学a
明白a 明白v
地膜棉n 地膜棉m
像vl 像p
赵公nr 赵公ns
钟馗nr 钟馗vn
灶王爷n 灶王爷vn
左f 左a
连天vd 连天vi
环环相扣lv 环环相扣vi
急于v 急于df
与c 与p
安全an 安全a
和平n 和平a
与c 与p
各执一端l 各执一端iv
本·阿里nr 本·阿里ns
表示v 表示vn
讲话vn 讲话n
和平a 和平n
愿意v 愿意vu
为p 为vl
联合vn 联合v
检察部n 检察部f
调查v 调查vn
原价n 原价ul
莱沃恰ns 莱沃恰d
统一a 统一v
拨款vn 拨款vi
为vl 为p
３８亿m ３８亿rr
实际ad 实际n
发射vn 发射v
发射vn 发射v
宇航员n 宇航员nrf
萨维茨卡亚nr 萨维茨卡亚nrg
在d 在p
老本n 老本nz
老本n 老本nz
冰面n 冰面vi
滑冰者n 滑冰者vi
冬泳vn 冬泳rr
冬泳者n 冬泳者ns
有vx 有v
冬泳vn 冬泳qe
惧vi 惧v
严寒a 严寒an
游泳vi 游泳vn
又c 又d
滑冰vi 滑冰vn
游泳vi 游泳vn
本赛r 本赛a
瑞士制n 瑞士制vq
雾渡河ns 雾渡河ul
有v 有vx
财校j 财校t
生活vi 生活vn
同年d 同年t
同村n 同村c
给v 给p
关怀v 关怀vn
双qj 双m
鞋子n 鞋子qd
戴v 戴nrf
草帽n 草帽nrg
解放鞋n 解放鞋vq
零工n 零工vq
录取vn 录取m
预收费n 预收费qt
校领导n 校领导rr
为vl 为p
学生会n 学生会wkz
青绿b 青绿ul
在v 在p
峭壁n 峭壁ad
山峦n 山峦vn
无边无沿l 无边无沿rr
近处s 近处m
古木参天lv 古木参天qd
树n 树v
下f 下vq
盈尺v 盈尺f
有vx 有v
潮乎乎z 潮乎乎rr
有vx 有v
溪水n 溪水wky
故c 故m
名Vg 名qe
八角田ns 八角田n
有vx 有v
苔藓n 苔藓vn
泥炭土n 泥炭土vn
砀山县ns 砀山县jn
宿县ns 宿县ul
认识n 认识v
有vx 有v
看似v 看似qe
真a 真dc
赶趟vn 赶趟vi
赶趟vn 赶趟vi
认识n 认识v
发展v 发展vn
轻轻松松z 轻轻松松rr
有vx 有v
浪头n 浪头ul
各具特色la 各具特色c
总而言之c 总而言之f
放松v 放松a
研究v 研究vn
非上市b 非上市c
认识vn 认识n
并d 并c
有vx 有v
清楚a 清楚v
有vx 有v
教条式b 教条式iv
一大二公三纯j 一大二公三纯nz
阶级斗争ln 阶级斗争rz
发展v 发展vn
并d 并c
长期以来ld 长期以来m
所us 所qe
贡献vn 贡献n
认识vn 认识n
温暖an 温暖v
赞Vg 赞df
朔州ns 朔州nz
规划n 规划v
引水vi 引水wyz
优种n 优种m
枣树n 枣树qd
荒坡n 荒坡f
脑存n 脑存ul
必要an 必要a
进步vi 进步vn
内燃机n 内燃机nz
实践v 实践vn
脱离v 脱离qd
来vi 来f
宁Dg 宁jb
当vl 当p
鸡首n 鸡首rr
凤尾n 凤尾l
来vi 来f
建设v 建设vn
蜕化vi 蜕化vu
秀才n 秀才nz
代笔vi 代笔wd
学习vn 学习v
懒惰症n 懒惰症wyy
碟Ng 碟n
叫vi 叫v
要不c 要不Tg
勉强v 勉强ad
铺天盖地iv 铺天盖地dc
翻卷v 翻卷a
身下n 身下ul
香气n 香气vq
冰n 冰vu
文明n 文明a
树v 树n
茶馆n 茶馆d
要vu 要v
要vu 要v
文v 文nz
三九t 三九dc
可c 可vu
到v 到vq
一缕缕m 一缕缕y
浓浓的z 浓浓的wt
摸透v 摸透vx
愿vu 愿v
一盏盏m 一盏盏vn
去vi 去v
喜庆vi 喜庆vn
欢乐an 欢乐a
祥和an 祥和a
转折vi 转折vn
为vl 为p
持续vd 持续vi
健康ad 健康a
发展v 发展vn
团结a 团结v
全面a 全面ad
进步vn 进步vi
家家户户in 家家户户ad
广播n 广播vn
香醇a 香醇vi
米酒n 米酒vn
瑶民n 瑶民m
款款q 款款qt
浓浓的z 浓浓的wj
舞狮队n 舞狮队v
到v 到vq
受灾vi 受灾ul
表演v 表演vn
座谈v 座谈vn
江nrf 江n
台j 台jb
多a 多m
和平ad 和平n
统一v 统一vn
发展v 发展vn
恢宏博大l 恢宏博大a
统一vn 统一a
赤诚a 赤诚an
审时度势in 审时度势f
开工vn 开工vi
献辞n 献辞t
为vl 为p
领导v 领导n
话筒n 话筒nrf
录v 录nrg
下vq 下v
讲话n 讲话vi
轻ad 轻a
点v 点n
飘洋过海i 飘洋过海vi
布什nr 布什d
计划v 计划n
成千上万iv 成千上万ul
生活vi 生活vn
绝望an 绝望t
羞耻n 羞耻wd
孤独an 孤独a
鲍威尔nr 鲍威尔d
愿vu 愿v
贺Vg 贺nrf
虎岁t 虎岁nrg
五洲jn 五洲wu
龙n 龙nrf
飞v 飞nrg
副qj 副b
高ad 高a
友谊n 友谊nz
来到vn 来到v
与c 与p
江水n 江水Tg
暖a 暖v
股qc 股n
面价n 面价ud
澳分q 澳分qd
为vl 为p
票面n 票面rr
有vx 有v
张牙舞爪iv 张牙舞爪jb
昂首vi 昂首jb
长ad 长jb
虎尾n 虎尾p
